Index,Process,Time,Temp,Current,Date
1,1,오후 4:23:19.0,76.00784572726687,1.518,2021-09-07
2,1,오후 4:23:24.0,74.11937724252256,1.499,2021-09-07
3,1,오후 4:23:29.0,74.12181233844662,1.721,2021-09-07
4,1,오후 4:23:34.0,74.06197573575812,1.678,2021-09-07
5,1,오후 4:23:39.0,73.0864964282445,1.678,2021-09-07
6,1,오후 4:23:44.0,73.25677527359753,1.677,2021-09-07
7,1,오후 4:23:49.0,72.13914228339809,1.655,2021-09-07
8,1,오후 4:23:54.0,71.66042141558682,1.659,2021-09-07
9,1,오후 4:23:59.0,75.1776601448583,1.633,2021-09-07
10,1,오후 4:24:04.0,73.58643440551927,1.623,2021-09-07
11,1,오후 4:24:09.0,72.87710395778115,1.703,2021-09-07
12,1,오후 4:24:14.0,75.01353466824737,1.667,2021-09-07
13,1,오후 4:24:19.0,71.01093857044455,1.65,2021-09-07
14,1,오후 4:24:24.0,72.19333628680197,1.698,2021-09-07
15,1,오후 4:24:29.0,69.28386418628695,1.607,2021-09-07
16,1,오후 4:24:34.0,72.3394548018018,1.635,2021-09-07
17,1,오후 4:24:39.0,71.49933688835523,1.568,2021-09-07
18,1,오후 4:24:44.0,70.81608582210924,1.638,2021-09-07
19,1,오후 4:24:49.0,69.13914228339809,1.618,2021-09-07
20,1,오후 4:24:54.0,68.66042141558682,1.603,2021-09-07
21,1,오후 4:24:59.0,71.1776601448583,1.565,2021-09-07
22,1,오후 4:25:04.0,70.58643440551927,1.554,2021-09-07
23,1,오후 4:25:09.0,72.87710395778115,1.611,2021-09-07
24,1,오후 4:25:14.0,73.01353466824737,1.598,2021-09-07
25,1,오후 4:25:19.0,68.20403500015834,1.65,2021-09-07
26,1,오후 4:25:24.0,69.87178422074807,1.653,2021-09-07
27,1,오후 4:25:29.1,68.49957940787253,1.543,2021-09-07
28,1,오후 4:25:34.1,69.86391347156295,1.582,2021-09-07
29,1,오후 4:25:39.1,67.9081485396546,1.551,2021-09-07
30,1,오후 4:25:44.1,70.66209655792429,1.581,2021-09-07
31,1,오후 4:25:49.1,67.13914228339809,1.537,2021-09-07
32,1,오후 4:25:54.1,67.66042141558682,1.599,2021-09-07
33,1,오후 4:25:59.1,65.1776601448583,1.519,2021-09-07
34,1,오후 4:26:04.1,65.58643440551927,1.532,2021-09-07
35,1,오후 4:26:09.1,67.87710395778115,1.475,2021-09-07
36,1,오후 4:26:14.1,68.01353466824737,1.484,2021-09-07
37,2,오후 4:26:39.1,75.13914228339809,1.537,2021-09-07
38,2,오후 4:26:44.1,73.66042141558682,1.54,2021-09-07
39,2,오후 4:26:49.1,74.1776601448583,1.701,2021-09-07
40,2,오후 4:26:54.1,74.58643440551927,1.667,2021-09-07
41,2,오후 4:26:59.2,74.87710395778115,1.679,2021-09-07
42,2,오후 4:27:04.2,75.01353466824737,1.688,2021-09-07
43,2,오후 4:27:09.2,71.08489761472396,1.696,2021-09-07
44,2,오후 4:27:14.2,72.47081535284565,1.699,2021-09-07
45,2,오후 4:27:19.2,74.84317473479867,1.609,2021-09-07
