Index,Process,Time,Temp,Current,Date
82,3,오후 4:31:31.3,74.3394548018018,1.657,2021-09-06
83,3,오후 4:31:36.3,73.49933688835523,1.636,2021-09-06
84,3,오후 4:31:41.3,73.81608582210924,1.683,2021-09-06
85,3,오후 4:31:46.3,71.00784572726687,1.664,2021-09-06
86,3,오후 4:31:51.3,70.11937724252256,1.671,2021-09-06
87,3,오후 4:31:56.3,69.12181233844662,1.607,2021-09-06
88,3,오후 4:32:01.3,71.06197573575812,1.587,2021-09-06
89,3,오후 4:32:06.3,69.0864964282445,1.565,2021-09-06
90,3,오후 4:32:11.3,70.25677527359753,1.609,2021-09-06
91,3,오후 4:32:16.3,68.13914228339809,1.564,2021-09-06
92,3,오후 4:32:21.3,68.66042141558682,1.591,2021-09-06
93,3,오후 4:32:26.3,72.1776601448583,1.542,2021-09-06
94,3,오후 4:32:31.3,69.58643440551927,1.554,2021-09-06
95,3,오후 4:32:36.3,71.87710395778115,1.634,2021-09-06
96,3,오후 4:32:41.3,70.01353466824737,1.575,2021-09-06
97,3,오후 4:32:46.3,68.13914228339809,1.627,2021-09-06
98,3,오후 4:32:51.3,66.66042141558682,1.585,2021-09-06
99,3,오후 4:32:56.4,68.1776601448583,1.542,2021-09-06
100,3,오후 4:33:01.4,67.58643440551927,1.509,2021-09-06
101,3,오후 4:33:06.4,67.87710395778115,1.543,2021-09-06
102,3,오후 4:33:11.4,69.01353466824737,1.53,2021-09-06
103,3,오후 4:33:16.4,64.04198315231801,1.536,2021-09-06
104,3,오후 4:33:21.4,67.31247367223635,1.562,2021-09-06
105,3,오후 4:33:26.4,67.53366359223965,1.449,2021-09-06
106,3,오후 4:33:31.4,65.74042366970423,1.523,2021-09-06
107,3,오후 4:33:36.4,65.04518510357609,1.529,2021-09-06
108,3,오후 4:33:41.4,66.47249049518311,1.487,2021-09-06
109,4,오후 4:34:06.9,75.13914228339809,1.472,2021-09-06
110,4,오후 4:34:11.9,75.66042141558682,1.504,2021-09-06
111,4,오후 4:34:16.9,77.1776601448583,1.701,2021-09-06
112,4,오후 4:34:21.9,77.58643440551927,1.713,2021-09-06
113,4,오후 4:34:26.9,76.87710395778115,1.748,2021-09-06
114,4,오후 4:34:31.9,75.01353466824737,1.757,2021-09-06
115,4,오후 4:34:36.9,72.00784572726687,1.741,2021-09-06
116,4,오후 4:34:41.9,71.11937724252256,1.699,2021-09-06
117,4,오후 4:34:46.9,71.12181233844662,1.631,2021-09-06
118,4,오후 4:34:51.9,74.06197573575812,1.61,2021-09-06
119,4,오후 4:34:56.9,72.0864964282445,1.61,2021-09-06
120,4,오후 4:35:01.9,73.25677527359753,1.677,2021-09-06
121,4,오후 4:35:06.9,70.01093857044455,1.632,2021-09-06
122,4,오후 4:35:11.9,69.19333628680197,1.659,2021-09-06
123,4,오후 4:35:16.9,70.28386418628695,1.584,2021-09-06
124,4,오후 4:35:21.9,72.3394548018018,1.567,2021-09-06
125,4,오후 4:35:27.0,71.49933688835523,1.591,2021-09-06
126,4,오후 4:35:32.0,71.81608582210924,1.638,2021-09-06
