Index,Process,Time,Temp,Current,Date
1,1,오후 4:22:09.0,75.00784572726687,1.506,2021-09-09
2,1,오후 4:22:14.0,73.11937724252256,1.56,2021-09-09
3,1,오후 4:22:19.0,75.12181233844662,1.699,2021-09-09
4,1,오후 4:22:24.0,73.06197573575812,1.655,2021-09-09
5,1,오후 4:22:29.0,76.0864964282445,1.701,2021-09-09
6,1,오후 4:22:34.0,74.25677527359753,1.654,2021-09-09
7,1,오후 4:22:39.0,73.00784572726687,1.723,2021-09-09
8,1,오후 4:22:44.0,71.11937724252256,1.682,2021-09-09
9,1,오후 4:22:49.0,72.12181233844662,1.653,2021-09-09
10,1,오후 4:22:54.0,74.06197573575812,1.61,2021-09-09
11,1,오후 4:22:59.0,74.0864964282445,1.633,2021-09-09
12,1,오후 4:23:04.0,79.46428160557834,1.8701604126889495,2021-09-09
13,1,오후 4:23:09.0,72.13914228339809,1.678,2021-09-09
14,1,오후 4:23:14.0,71.66042141558682,1.613,2021-09-09
15,1,오후 4:23:19.0,72.1776601448583,1.633,2021-09-09
16,1,오후 4:23:24.0,70.58643440551927,1.622,2021-09-09
17,1,오후 4:23:29.0,70.87710395778115,1.634,2021-09-09
18,1,오후 4:23:34.0,72.01353466824737,1.598,2021-09-09
19,1,오후 4:23:39.0,69.04198315231801,1.604,2021-09-09
20,1,오후 4:23:44.0,69.31247367223635,1.63,2021-09-09
21,1,오후 4:23:49.1,71.53366359223965,1.563,2021-09-09
22,1,오후 4:23:54.1,69.74042366970423,1.569,2021-09-09
23,1,오후 4:23:59.1,70.04518510357609,1.619,2021-09-09
24,1,오후 4:24:04.1,70.47249049518311,1.579,2021-09-09
25,1,오후 4:24:09.1,69.04198315231801,1.586,2021-09-09
26,1,오후 4:24:14.1,68.31247367223635,1.595,2021-09-09
27,1,오후 4:24:19.1,69.53366359223965,1.563,2021-09-09
28,1,오후 4:24:24.1,69.74042366970423,1.546,2021-09-09
29,1,오후 4:24:29.1,67.04518510357609,1.574,2021-09-09
30,1,오후 4:24:34.1,68.47249049518311,1.578,2021-09-09
31,1,오후 4:24:39.1,66.08489761472396,1.517,2021-09-09
32,1,오후 4:24:44.1,65.47081535284565,1.55,2021-09-09
33,1,오후 4:24:49.1,65.84317473479867,1.496,2021-09-09
34,1,오후 4:24:54.1,66.18546553761685,1.481,2021-09-09
35,1,오후 4:24:59.1,66.55671042933152,1.49,2021-09-09
36,1,오후 4:25:04.1,65.93957562396797,1.498,2021-09-09
37,2,오후 4:25:30.4,73.04198315231801,1.507,2021-09-09
38,2,오후 4:25:35.4,75.31247367223635,1.493,2021-09-09
39,2,오후 4:25:40.4,76.53366359223965,1.654,2021-09-09
40,2,오후 4:25:45.4,73.74042366970423,1.705,2021-09-09
41,2,오후 4:25:50.5,76.04518510357609,1.733,2021-09-09
42,2,오후 4:25:55.5,75.47249049518311,1.67,2021-09-09
43,2,오후 4:26:00.5,71.13914228339809,1.722,2021-09-09
44,2,오후 4:26:05.5,71.66042141558682,1.709,2021-09-09
45,2,오후 4:26:10.5,75.1776601448583,1.61,2021-09-09
46,2,오후 4:26:15.5,73.58643440551927,1.623,2021-09-09
47,2,오후 4:26:20.5,74.87710395778115,1.702,2021-09-09
48,2,오후 4:26:25.5,76.01353466824737,1.666,2021-09-09
49,2,오후 4:26:30.5,72.20403500015834,1.696,2021-09-09
50,2,오후 4:26:35.5,71.87178422074807,1.721,2021-09-09
51,2,오후 4:26:40.5,73.49957940787253,1.634,2021-09-09
52,2,오후 4:26:45.5,70.86391347156295,1.627,2021-09-09
53,2,오후 4:26:50.5,73.9081485396546,1.664,2021-09-09
54,2,오후 4:26:55.5,71.66209655792429,1.604,2021-09-09
55,2,오후 4:27:00.5,71.04198315231801,1.673,2021-09-09
56,2,오후 4:27:05.5,70.31247367223635,1.622,2021-09-09
57,2,오후 4:27:10.5,70.53366359223965,1.609,2021-09-09
58,2,오후 4:27:15.5,68.74042366970423,1.592,2021-09-09
59,2,오후 4:27:20.6,79.17491839207787,1.831298511003622,2021-09-09
60,2,오후 4:27:25.6,70.47249049518311,1.556,2021-09-09
61,2,오후 4:27:30.6,69.08489761472396,1.562,2021-09-09
62,2,오후 4:27:35.6,67.47081535284565,1.596,2021-09-09
63,2,오후 4:27:40.6,67.84317473479867,1.564,2021-09-09
64,2,오후 4:27:45.6,67.18546553761685,1.527,2021-09-09
65,2,오후 4:27:50.6,70.55671042933152,1.536,2021-09-09
66,2,오후 4:27:55.6,69.93957562396797,1.52,2021-09-09
67,2,오후 4:28:00.6,66.08489761472396,1.597,2021-09-09
68,2,오후 4:28:05.6,67.47081535284565,1.583,2021-09-09
69,2,오후 4:28:10.6,65.84317473479867,1.495,2021-09-09
70,2,오후 4:28:15.6,66.18546553761685,1.527,2021-09-09
71,2,오후 4:28:20.6,65.55671042933152,1.49,2021-09-09
72,2,오후 4:28:25.6,66.93957562396797,1.498,2021-09-09
73,3,오후 4:28:51.6,73.00784572726687,1.483,2021-09-09
74,3,오후 4:28:56.6,74.11937724252256,1.515,2021-09-09
75,3,오후 4:29:01.6,73.12181233844662,1.653,2021-09-09
76,3,오후 4:29:06.6,76.06197573575812,1.678,2021-09-09
77,3,오후 4:29:11.6,74.0864964282445,1.655,2021-09-09
78,3,오후 4:29:16.6,76.25677527359753,1.723,2021-09-09
79,3,오후 4:29:21.6,71.04198315231801,1.677,2021-09-09
80,3,오후 4:29:26.7,73.31247367223635,1.726,2021-09-09
81,3,오후 4:29:31.7,74.53366359223965,1.608,2021-09-09
82,3,오후 4:29:36.7,72.74042366970423,1.66,2021-09-09
83,3,오후 4:29:41.7,72.04518510357609,1.688,2021-09-09
84,3,오후 4:29:46.7,73.47249049518311,1.647,2021-09-09
85,3,오후 4:29:51.7,70.20403500015834,1.631,2021-09-09
86,3,오후 4:29:56.7,70.87178422074807,1.664,2021-09-09
87,3,오후 4:30:01.7,73.49957940787253,1.589,2021-09-09
88,3,오후 4:30:06.7,70.86391347156295,1.604,2021-09-09
89,3,오후 4:30:11.7,73.9081485396546,1.664,2021-09-09
90,3,오후 4:30:16.7,73.66209655792429,1.604,2021-09-09
91,3,오후 4:30:21.7,69.13914228339809,1.673,2021-09-09
92,3,오후 4:30:26.7,71.66042141558682,1.668,2021-09-09
93,3,오후 4:30:31.7,71.1776601448583,1.565,2021-09-09
94,3,오후 4:30:36.7,69.58643440551927,1.623,2021-09-09
95,3,오후 4:30:41.7,70.87710395778115,1.611,2021-09-09
96,3,오후 4:30:46.7,72.01353466824737,1.575,2021-09-09
97,3,오후 4:30:51.7,69.00784572726687,1.604,2021-09-09
98,3,오후 4:30:56.7,69.11937724252256,1.63,2021-09-09
99,3,오후 4:31:01.7,68.12181233844662,1.562,2021-09-09
100,3,오후 4:31:06.8,66.06197573575812,1.564,2021-09-09
101,3,오후 4:31:11.8,68.0864964282445,1.542,2021-09-09
102,3,오후 4:31:16.8,69.25677527359753,1.495,2021-09-09
103,3,오후 4:31:21.8,67.13914228339809,1.541,2021-09-09
104,3,오후 4:31:26.8,67.66042141558682,1.567,2021-09-09
105,3,오후 4:31:31.8,66.1776601448583,1.52,2021-09-09
106,3,오후 4:31:36.8,66.58643440551927,1.532,2021-09-09
107,3,오후 4:31:41.8,67.87710395778115,1.497,2021-09-09
108,3,오후 4:31:46.8,67.01353466824737,1.507,2021-09-09
109,4,오후 4:32:12.1,73.13914228339809,1.536,2021-09-09
110,4,오후 4:32:17.1,75.66042141558682,1.517,2021-09-09
111,4,오후 4:32:22.1,74.1776601448583,1.656,2021-09-09
112,4,오후 4:32:27.2,74.58643440551927,1.713,2021-09-09
113,4,오후 4:32:32.2,77.87710395778115,1.68,2021-09-09
114,4,오후 4:32:37.2,76.01353466824737,1.689,2021-09-09
115,4,오후 4:32:42.2,72.20403500015834,1.764,2021-09-09
116,4,오후 4:32:47.2,73.87178422074807,1.721,2021-09-09
117,4,오후 4:32:52.2,75.49957940787253,1.635,2021-09-09
118,4,오후 4:32:57.2,73.86391347156295,1.673,2021-09-09
119,4,오후 4:33:02.2,73.9081485396546,1.71,2021-09-09
120,4,오후 4:33:07.2,75.66209655792429,1.672,2021-09-09
121,4,오후 4:33:12.2,69.13914228339809,1.674,2021-09-09
122,4,오후 4:33:17.2,72.66042141558682,1.714,2021-09-09
123,4,오후 4:33:22.2,72.1776601448583,1.565,2021-09-09
124,4,오후 4:33:27.2,73.58643440551927,1.645,2021-09-09
